id,teks,kategori
1,"Menyebarluaskan kabar rumor serta fitnah yang menjatuhkan segala sesuatu yang berhubungan dengan Adi Sanggoro
",Indonesia
2,"Kejadian dan tabiat manusia
",Malaysia
3,"Bisnis di sektor pertanian perkebunan dan peternakan
",Indonesia
4,"Gelar demonstrasi dukung Israel
",Indonesia
5,"Undangundang Nomor Tahun tentang Pokokpokok Kepegawaian jo
",Indonesia
6,"Apakah yang akan terjadi kepada sel stem dewasa di dalam sistem peredaran sekiranya ia tidak sampai kepada tisutisu yang memerlukannya
",Malaysia
7,"Oktober Hari Graduasi Oktober Pulang Bermalam Wajib Oktober Program Migty Oktober Malam Anugerah Homeroom
",Malaysia
8,"Keluarga yang tinggal terpisah di dua bangunan sensus tetapi makannya dari satu dapur asal kedua bangunan sensus tersebut masih dalam sub blok sensus yang sama dianggap sebagai satu rumah tangga
",Indonesia
9,"Apakah test dengan menggunakan HIV Strip dapat menghasilkan hasil yang dapat dipercaya
",Indonesia
10,"Januari Muhsin Hariyanto Belajar pada Rizkan Chandra Rizkan Chandra seorang wirausahawan muda muslim percaya betul bahwa doa bisa menghasilkan sesuatu yang dahsyat
",Indonesia
11,"Surat pernyataan bersedia mengundurkan diri dari jabatan dan melepaskan status kepegawaian dari perusahaan dan atau instansi sebelumnya
",Indonesia
12,"Ilmuwan dari aliran Islam berjasa menyedarkan umat supaya jangan bertempiaran sebaliknya percaya kepada kebolehan diri sendiri dan Islam ada optimisme
",Malaysia
13,"Beritahukan pada teman bahwa komputer tersebut telah terinfeksi virus dan segera lakukan update dan scan komputer dengan antivirus yang terupdate
",Indonesia
14,"Panduan keselamatan sentiasa dipamerkan di bilik Sains dan Kemahiran Hidup Panitia Sains dan Kemahiran Hidup telah memberi taklimat tentang aspekaspek kawalan keselamatan pada awal tahun
",Malaysia
15,"Hanya Memberikan Informasi yang Benar Benar Menarik Membombardir seseorang dengan email setiap hari tanpa henti tidak akan membuat seseorang menjadi tertarik dengan produk Anda
",Indonesia
16,"Bahkan secara jenjang keanggotaan ada sopir DPP yg lebih tinggi dari seorang Wasekjen misalnya
",Indonesia
17,"Sukakan tajuk entry yang friendly search engine menarik dan baris pertama ayat di perenggan pertama sangat mengujakan Rapatkan diri dengan visitor
",Malaysia
18,"Kencing tak lawas atau menitis ketika meneran
",Malaysia
19,"Utusan MalaysiaMingguan Malaysia Dadah dalam songkok BUKIT MERTAJAM Feb
",Malaysia
20,"kepelbagaian kegunaan gamat Khasiat dari pati gamat digunakan secara meluas bukan sahaja dalam produk kesihatan tetapi sebagai makanan tambahan
",Malaysia
21,"Terlalu Sering Mencuci Wajah Mencuci wajah sekali atau dua kali sehari adalah prosedur yang ideal
",Indonesia
22,"Sekiranya saya mempunyai lebih dari satu kotak atas set di rumah bolehkah saya membeli filem daripada Astro First menerusi setiap kotak Astro itu
",Malaysia
23,"Pihak penyelaras pentadbir dan moderator laman web ini mempunyai hak mutlak untuk menghapuskan mengemaskini memindahkan atau menutup manamana topik pada bilabila masa yang difikirkan perlu
",Malaysia
24,"Menghilangkan bau di dalam peti sejuk
",Malaysia
25,"bagi namatmpat tggalno telefon n emel untuk sng dhbungisegala maklumat anda tak kan disalahgunakan
",Malaysia
26,"Harus bagi suami isteri untuk mencumbu kemaluan pasangan mereka dengan syarat tidak menghisap jilat dan menelan apa jua cecair
",Malaysia
27,"Masukkan daging ayam dan udang aduk rata hingga berubah warna Masukkan taoge jamur kuping bihun air garam micin lada bubuk dan telur orakarik
",Indonesia
28,"Bab d laporanlaporan itu mengandungi perakuanperakuan Suruhanjaya Pilihan Raya
",Malaysia
29,"September WIB Juwita Niza Misna Mahasiswa UMSU Raih Medali Perak Asian Games Juwita Niza Misna tak dapat menyembunyikan kegembiraannya
",Indonesia
30,"Meneliti berkas tagihan pemeliharaan alat perlengkapan kantor gedung kantor dan rumah dinas dan biaya langganan listrik air bersih untuk mendapatkan penyelesaian pembayaran
",Indonesia
31,"Unit Rumah Mampu Milik Dibina Bajet KUALA LUMPUR Sebanyak unit rumah harga berpatutan akan dibina di kawasankawasan strategik tahun depan Datuk Seri Najib Razak mengumumkan hari ini
",Malaysia
32,"Agustus Muhsin Hariyanto Perennialisme Kajian Kritis Faham perennialisme sejatinya hanyalah sebuah interpretasi dan bukan wahyu
",Indonesia
33,"Aktif melakukan koordinasi kegiatan promosi atau even sesuai dengan jadwal yang disepakati
",Indonesia
34,"Dalam seksyen ungkapan Raja termasuklah seseorang bekas Raja
",Malaysia
35,"Untuk meneruskan komitmen Kerajaan sukacita saya mengumumkan tambahan juta ringgit lagi kepada tabung ini
",Malaysia
36,"JPS KMSB telah memenangi Anugerah Pejabat Terbaik diperingkat JPS Negeri Kedah
",Malaysia
37,"Memusing kepala menguak rambut Ini merupakan suatu pergerakan yang menggoda apabila seorang wanita berada berhampiran lelaki yang disukainya
",Malaysia
38,"rakyat Malaysia yang beragama Islam dan mengikut fahaman Sunnah wal Jamaah telah bersolat di tempat awal eg
",Malaysia
39,"Daun Bawang dipotong kasar tangkai Halia dihiris nipis ulas Serbuk Kayu Manis sudu kecil Tambah ke senarai barangan runcit Mulamula goreng ayam hingga separa masak
",Malaysia
40,"Herpes simpleks adalah jenis penyakit herpes yang disebabkan oleh virus herpes simpleks atau virus HSV
",Indonesia
41,"Bagi wanita gerakan otot itu menjadikan buah dadanya lebih baik mudah berfungsi untuk menyusukan bayi dan terhindar dari sakit buah dada
",Malaysia
42,"cawan badam halus cawan kismis hitam Pukul rata mentega dan gula
",Malaysia
43,"days ago Internasional Sports PHILADELPHIA WOL Meksiko berhasil menjuarai Piala Emas Concacaf ketuju kaoinya usai mengalahkan Jamaika di Lincoln Financial Field Philadelphia Pennsylvania Amerika Serikat Senin WIB
",Indonesia
44,"Di bawah program eKasih pula sebanyak peratus atau lebih mereka yang berdaftar telah berjaya dikeluarkan daripada belenggu kemiskinan dalam tempoh hanya tahun
",Malaysia
45,"Yunita Gouwtama Seksi on July at am said Visi dan misi dimaksudkan untuk menjadikan sebuah organisasi memiliki jati diri yang khas yang membedakannya dengan organisasi lainnya
",Indonesia
46,"Saya ingin mengambil kesempatan di sini untuk mencadangkan supaya satu kajian yang lebih terperinci mengenai permasalahan ibu tunggal juga dilaksanakan
",Malaysia
47,"Sinar Harian Dua sahabat berdepan hukuman gantung KUALA TERENGGANU Dua sahabat berdepan hukuman gantung sampai mati sekiranya didapati bersalah mengedar dadah jenis heroin di Mahkamah Majistret di sini semalam
",Malaysia
48,"September WIB Rano Karno Diusir dari Banten Puluhan massa yang tergabung dalam Koalisi Masayarakat Banten KMB melakukan aksi unjuk rasa
",Indonesia
49,"Ketika memotret lihatlah area paling terang yang masuk ke viewfinder anda
",Indonesia
50,"Apa yang kita inginkan ialah peningkatan selari di antara pendapatan dan kualiti kehidupan
",Malaysia
51,"Mengurus pengambilan balik tanah PBT dan memberi ulasan permohonan serah balik dan kurnia semula SBKS bagi perlaksanaan Projekprojek pembangunan
",Malaysia
52,"Sebagian ulama berpendapat rahmat dalam ayat ini diberikan juga kepada orang kafir namun mereka menolaknya
",Indonesia
53,"Potensi kerjasama yang tinggi dengan berbagai lembaga pemerintah dan nonpemerintah baik dalam maupun luar negeri
",Indonesia
54,"Chairul Tanjung Million Age Para Group yang bergerak di bidang jasajasa finansiel penyiaran property dan energi
",Indonesia
55,"Mengesahkan kerjakerja bekalan dan perkhidmatan di mana yang dikhendaki
",Malaysia
56,"Mengoptimalkan peran serta masyarakat untuk kelancaran transportasi disetiap mode serta pemeliharaan fasilitas perhubungan komunikasi dan informatika
",Indonesia
57,"Bagaimana cara nak memastikan iman dihati kita sentiasa berada ditahap yang selesa selamat kerana sepanjang hidup ini saya tidak dapat mengekalkan keimanan dihati sepanjang masa terutamanya ketika tidak dapat bersujud kepada Illahi
",Malaysia
58,"Mengurangi egoisme dan hidup sederhana Orang yang hidupnya sederhana adalah orang yang tidak banyak keinginan tidak tertarik pada hal duniawi secara berlebihan tidak sombong dan memiliki pikiran yang tenang dan sederhana
",Indonesia
59,"Membasuh muka dengan merata Membasuh tangan hingga sampai dengan kedua siku dengan merata Membasuh kaki hingga sampai dengan kedua mata kaki dengan merata Perkaraperkara yang disunatkan ketika berwuduk Menghadap ke arah Kiblat
",Malaysia
60,"MIDF memberikan bantuan bagi membantu perusahaan kecil dan sederhana PKS dalam memulakan perniagaan mengembang dan mempertingkat kapasiti pengeluaran dan kebolehan daya saing pengeluaran atau perkhidmatan mereka
",Malaysia
61,"Majoriti mengatakan Sholat Jumaat tersebut TIDAK WAJIB dilakukan sekiranya Sholat Aidilfitri atau Aidiladha telah dilakukan pada hari tersebut TETAPI ianya adalah WAJIB bagi lelaki Muslim yang bermaustautin dan ahli Qariyah setempat tersebut
",Malaysia
62,"Declaration of Human Rights PBB International Code of Medical Ethics WMA Konstitusi WHO Jenewa Deklarasi Helsinki dari WMA UUD Sila II
",Indonesia
